"","waldStat","df","pvalue","logFClineage1","logFClineage2","logFClineage3","logFClineage4","logFClineage5","feature_id"
"Apoe",265.396988673957,5,0,0.329303671512509,0.538323679155792,0.661847387265657,0.522704876264854,0.833934480222083,"Apoe"
"Cd74",262.325479274675,5,0,0.955202666699471,-0.492947445321722,-0.411236676894704,-0.406349956543129,-1.12948367481058,"Cd74"
"Car1",231.602954393973,5,0,0.16499922924204,0.314554977746779,1.13817574554658,0.877326303971222,1.79714342383757,"Car1"
"Tmsb10",227.149730746707,5,0,0.0170725788241857,-0.247617005425096,-0.325892129663932,-0.453766020201172,-0.306784745416503,"Tmsb10"
"Cdk1",222.616495570587,5,0,-0.266331555851363,-0.475166488151641,-0.653749880805489,-0.345510778496212,-0.445517797885248,"Cdk1"
"Alas1",218.802720040986,5,0,-0.38179415028503,-0.171992823851057,-0.32415718150369,-0.286134117121464,-0.247023873411512,"Alas1"
"Gstm1",217.310194499915,5,0,-0.559446630170522,0.0942031007929021,-0.00407122880339342,-0.114080713723427,0.0222541275489121,"Gstm1"
"H2-Ab1",200.718794420132,5,0,0.802965747745588,-0.512420101992761,-0.306024033473896,-0.466525877563745,-0.550194717971562,"H2-Ab1"
"Vim",193.07103007201,5,0,-0.0720379947119052,-0.345772219998489,-0.461023912859101,-0.236217117297925,-0.0395744189118546,"Vim"
"Lgals9",191.499865368382,5,0,0.459957754013807,0.410182877822567,0.160655460003722,0.14098043910219,0.421331624727533,"Lgals9"
"Ccnb2",190.225153826426,5,0,-0.337972055482832,-0.28233864079773,-0.798934054693803,-0.168195233416196,-0.343170138926699,"Ccnb2"
"Uqcrh",190.199885760185,5,0,0.43423854543404,0.642374931624779,0.404674100190973,0.290206302659327,0.42761494532522,"Uqcrh"
"Cct2",189.153664325248,5,0,0.391114844906854,0.470653560397715,0.228969013775732,0.0728938454653999,0.331621838224682,"Cct2"
"Tyrobp",187.032801825049,5,0,-0.186158018519544,-0.151058249186514,-0.327743371008323,-0.326966292091381,-0.446362029729341,"Tyrobp"
"Nedd4",184.372149355142,5,0,0.42739159021952,0.645589555067116,0.334098314883129,0.199539826410552,0.474634600984272,"Nedd4"
"Arl6ip1",182.788613096577,5,0,-0.162859575086604,-0.345127898524884,-0.568062107123487,-0.47398023295983,-0.518812169923422,"Arl6ip1"
"Lsp1",181.752140692992,5,0,0.40203544189366,-0.0716269118566754,-0.341860225783138,-0.374573312762652,-0.523946039545064,"Lsp1"
"Prdx5",177.780910094112,5,0,-0.389379245020299,-0.165478635547811,-0.155627720261753,-0.277982706403726,-0.109052292842554,"Prdx5"
"Cd52",176.228423585477,5,0,-0.033507698874355,0.00871906206618841,-0.402981288369833,-0.329210137331077,-0.504173867242639,"Cd52"
"Pabpc1;Pabpc2",175.799862455543,5,0,0.247359116464047,0.10679366703033,-0.0817450157443385,-0.203982455199092,0.0908037218569066,"Pabpc1;Pabpc2"
"Dctn5;Plk1",168.751849610528,5,0,-0.245842358917248,-0.270760632638771,-0.51153179542459,-0.362727820107991,-0.538599989517373,"Dctn5;Plk1"
"Cd34",166.761238284124,5,0,0.114311655974659,-0.328500697232084,-0.507233219811101,-0.45545939860385,-0.441523486768999,"Cd34"
"Csda",163.060598256607,5,0,-0.0814076784680812,-0.240784974663123,-0.174674998373545,-0.26010675247086,-0.105264589776226,"Csda"
"C3",162.96418890107,5,0,-1.28995038859176,0.345661724954969,-0.414653987948065,0.00600728118839838,0.0760059505757643,"C3"
"Srgn",158.173345783612,5,0,-0.151050084310187,0.253654203832072,-0.0105552873196495,0.0751020233605616,0.264862444774175,"Srgn"
"Ifitm1",153.268160636584,5,0,0.37460715262503,0.65609902132751,0.255629909853246,0.267456985327337,0.915865464128662,"Ifitm1"
"Hsp90aa1",153.221345518927,5,0,0.473145428729894,0.542592468471165,0.248480372263114,0.0426564432908363,0.525304540481238,"Hsp90aa1"
"Pgd",152.041166355274,5,0,-0.374998114545601,-0.0430041739456236,-0.100186175584747,-0.244502636354041,-0.117250539429309,"Pgd"
"Rpl22",151.166252668359,5,0,0.213878603752916,0.415672991327033,0.0190511559679797,-0.17022622347583,0.6129477742999,"Rpl22"
"H2-Eb1",150.754607373729,5,0,1.56918449528409,-0.494672511487201,-0.526691065817933,-0.41345448045304,-1.01107514057497,"H2-Eb1"
"Mt1",150.160378418592,5,0,-0.452166028939523,-0.0225063385090745,0.141819336637195,0.00903551727478704,0.380550646185936,"Mt1"
"Gpr56",147.655357919608,5,0,0.319354228313962,0.19691631266925,-0.031642258532365,-0.0194312548794186,0.177316804805735,"Gpr56"
"Napsa",142.365016266483,5,0,-0.165988326783915,-0.131577028275712,-0.342670953297523,-0.389725686287099,-0.177673617582718,"Napsa"
"Rps11",139.104589023306,5,0,0.264686920025899,0.214616786294444,-0.137763817972308,-0.244621432023289,0.136133547618694,"Rps11"
"H2-DMa",137.770595267483,5,0,0.0685502745835051,-0.369454318424387,-0.431760850174722,-0.333014068481757,-0.269289638407855,"H2-DMa"
"Vamp5",137.316043987539,5,0,0.0431929396199052,0.200509155477541,0.594618464740138,0.414748827800137,0.778791952546341,"Vamp5"
"Lcn2",136.620422780928,5,0,-2.30891049593431,0.949873960455623,0.499352049575337,-0.749267033071147,0.746672826494076,"Lcn2"
"Ncl",134.651214337234,5,0,0.020201733287266,-0.180358609460428,-0.152775673424739,-0.20186726685499,-0.046869164811531,"Ncl"
"Phb2",133.612840400652,5,0,-0.0881336909913122,-0.197649631516928,-0.233133560260503,-0.225304916265005,-0.218202459607721,"Phb2"
"Tk1",131.82437575195,5,0,-0.10278835613074,-0.303195884044353,-0.515536263126005,-0.366111891858566,-0.461840827405245,"Tk1"
"Paics",128.10059814599,5,0,0.60358922173619,0.145785377627092,0.143069956225508,-0.185984836100936,0.267836488996721,"Paics"
"Fth1",123.519841075587,5,0,-0.00676443166623621,-0.155321680360893,-0.189480309327944,-0.172641043320778,-0.128708118767095,"Fth1"
"Slpi",119.223632086498,5,0,-0.365936377699922,-0.383113408122659,-0.421555108850987,-0.484363032663828,-0.325644755597894,"Slpi"
"Gm2a",114.083768914163,5,0,-0.0512256523830492,-0.132326292446382,-0.478396540128796,-0.333007887933518,-0.104408635875744,"Gm2a"
"Sub1",113.286517316593,5,0,0.517183831686907,0.636785201291236,0.394686326524233,0.197387132452815,0.148820364534985,"Sub1"
"Dut;Dutp",113.23539207494,5,0,0.0308335629434118,-0.221454319529484,-0.270181307571187,-0.365934695076963,-0.156048630235014,"Dut;Dutp"
"Atpif1",111.213357168288,5,0,-0.110318656445406,-0.147971162206218,-0.0883166880336372,-0.1074259656526,0.0500444542034688,"Atpif1"
"Lcp1",107.809635822587,5,0,0.134105646884828,-0.124772678702145,-0.40560202593918,-0.424974405131415,-0.305644020722009,"Lcp1"
"1110034A24Rik;Rpl36al",103.731498022913,5,0,0.358236458932078,0.36540780785889,0.167764446696986,-0.0493413360491517,0.218195764147484,"1110034A24Rik;Rpl36al"
"Chi3l3",99.4422776458986,5,0,-0.910194003817536,0.89717858604377,0.65387766883226,0.843632308007721,1.74289288751167,"Chi3l3"
"Zfpm1",98.6419287156976,5,0,0.218541242584676,0.306440955886659,0.418508258308314,0.428906446277344,0.812226345235716,"Zfpm1"
"Top2a",98.6322706487319,5,0,-0.0576123410408486,-0.0139556830049414,-0.679307970659111,-0.192703851978993,-0.39607609129259,"Top2a"
"Arhgdib",92.3152440406126,5,0,-0.107059627203745,-0.0465160341584118,-0.20886152135491,-0.252841192596703,-0.0554441369078612,"Arhgdib"
"S100a9",92.026374852662,5,0,-1.22490621341501,0.914800370971454,0.619341745200287,0.599626190467698,0.915615759270744,"S100a9"
"Anxa2",90.0109433491126,5,0,-0.100400078220868,-0.0542196797269602,-0.378916480922497,-0.301365594406,-0.531456955821503,"Anxa2"
"Fcgr3",87.8254676671181,5,0,-0.611329135257364,1.37275059525399,0.496786693305781,0.383298269795606,0.719907725820589,"Fcgr3"
"Malat1",87.658887497482,5,0,0.221051173247764,0.318781505272946,0.302321483112448,0.185599229782755,0.428987819922585,"Malat1"
"Igfbp4",87.5302529935397,5,0,-0.0533935893376706,-0.127010810254083,-0.240688212411659,-0.284460525601161,-0.110810739110678,"Igfbp4"
"Aqp1",83.7693494346845,5,1.11022302462516e-16,0.0362283669098004,0.0851385438880667,1.24970687792797,0.757702047014155,1.24985176078749,"Aqp1"
"Psap",83.5695031359206,5,1.11022302462516e-16,-0.00214173683407926,-0.259468707438437,-0.415036418029375,-0.284095534459688,-0.409956543749599,"Psap"
"Hspa5",83.2759250287619,5,2.22044604925031e-16,-0.171423374197605,-0.184880292857219,-0.293881278638094,-0.151947479998299,-0.176130812834653,"Hspa5"
"Hist1h2ae",82.301577908626,5,2.22044604925031e-16,-0.201758829980509,-0.127141978062107,-0.686877413479179,0.103425150317622,-0.325905166235591,"Hist1h2ae"
"Nrgn",79.9106087670523,5,8.88178419700125e-16,0.398463653931005,0.243230620627158,-0.0167561024626074,-0.102748056095711,0.0846644780873192,"Nrgn"
"Gfi1b",78.672651530296,5,1.55431223447522e-15,0.227223052247258,0.588487376077211,0.848341117798672,0.808148668529349,0.79127000601412,"Gfi1b"
"Cct5",78.4822311913082,5,1.77635683940025e-15,0.166692365209764,0.174263926895233,0.0533821964931368,-0.044108475446751,0.220257802396569,"Cct5"
"Cnn2",77.9013296046678,5,2.33146835171283e-15,-0.0500751887647731,-0.100559469200886,-0.251770876806993,-0.211864136508515,-0.335782234639696,"Cnn2"
"Hbb-b1",77.8845194451975,5,2.33146835171283e-15,0.45643292725816,1.13390313971967,0.969785482966433,0.817600313772739,0.98097530585897,"Hbb-b1"
"Crip1",77.7280567562313,5,2.55351295663786e-15,0.232353033605228,-0.0680215884947748,-0.200674796764469,-0.149614277759165,0.0753270659849766,"Crip1"
"AK152437",76.4709131329101,5,4.55191440096314e-15,0.295455261214892,0.265453422634188,0.0766238141497348,0.00922821903225931,0.705067784562991,"AK152437"
"Phf5a",73.9716868421082,5,1.52100554373646e-14,-0.101097199209458,-0.270594535872277,-0.220608719468314,-0.245742301841841,-0.175245034015393,"Phf5a"
"Cct6a",73.7759797877396,5,1.67643676718399e-14,0.20615025209669,0.105222824136693,-0.121018687882041,-0.10241051862505,-0.038215392338544,"Cct6a"
"Blvrb",73.588880451638,5,1.83186799063151e-14,-0.0462313592471424,0.0865760029424242,0.336228524303542,0.546237422837418,1.19130671163868,"Blvrb"
"C1qbp",72.7468791509377,5,2.74225087082414e-14,-0.0201389273704296,-0.220142112305426,-0.227442802032311,-0.199891512868845,-0.156573176908422,"C1qbp"
"Ifrd2",72.4709053100873,5,3.13082892944294e-14,-0.0985860748285155,-0.407083069606185,-0.227785547608356,-0.265940498206203,-0.0125955712030557,"Ifrd2"
"Cox6c",71.8682935618232,5,4.18554080283684e-14,0.34706430184528,0.881988164784829,0.14932553931433,-0.0432397646054512,0.597801401070956,"Cox6c"
"Gnl3",71.1578649095347,5,5.88418203051333e-14,0.382876888802552,0.349930953921457,0.29760661146941,0.212421955609161,0.266790345793337,"Gnl3"
"Mcm4",70.6573448573035,5,7.48290318597356e-14,0.391891162699229,0.0883351585665634,-0.092451372232756,-0.16542555042056,-0.0831706711160523,"Mcm4"
"Bclaf1;mKIAA0164",67.9654772865508,5,2.71449529520851e-13,0.457846307889635,0.290962216489671,0.288553637997326,0.218102606979856,0.176512934056477,"Bclaf1;mKIAA0164"
"AK217986",67.5738723025395,5,3.27404769961959e-13,0.534658084259226,0.590421752900452,0.672706045269867,0.207029355852252,0.833103549348901,"AK217986"
