"","waldStat","df","pvalue","logFC1_2","logFC1_3","logFC1_4","logFC1_5","logFC2_3","logFC2_4","logFC2_5","logFC3_4","logFC3_5","logFC4_5","feature_id"
"Cd24a",136.991808119494,4,0,-2.45978033550543,1.84068891362145,-2.32679939753953,-2.24183300727441,4.30046924912688,0.132980937965898,0.217947328231015,-4.16748831116098,-4.08252192089587,0.0849663902651185,"Cd24a"
"Canx",136.834167758164,4,0,-1.43780758993664,-0.136479487384432,-1.57164518824315,-0.267993557251177,1.30132810255221,-0.133837598306505,1.16981403268546,-1.43516570085871,-0.131514069866745,1.30365163099197,"Canx"
"Ftsj3",136.688178883843,4,0,-2.36345295710642,-1.46257921889702,-2.64831498307593,-0.496570603676959,0.900873738209401,-0.284862025969508,1.86688235342947,-1.18573576417891,0.966008615220065,2.15174437939897,"Ftsj3"
"Ctse",135.539722907827,4,0,-3.49988841831171,1.50460951192647,-3.37484943768693,0.274485922087028,5.00449793023818,0.125038980624774,3.77437434039874,-4.8794589496134,-1.23012358983944,3.64933535977396,"Ctse"
"Rbm25",133.903347441797,4,0,-1.45407411342494,-0.235606303044135,-1.50858890713847,0.00309902918833006,1.21846781038081,-0.0545147937135259,1.45717314261327,-1.27298260409433,0.238705332232465,1.5116879363268,"Rbm25"
"Hars",133.766049291557,4,0,-2.87825496783915,-2.00657872658565,-2.93745329274146,-1.22830245690327,0.871676241253502,-0.0591983249023124,1.64995251093588,-0.930874566155814,0.778276269682379,1.70915083583819,"Hars"
"Bclaf1;mKIAA0164",133.481960590303,4,0,-2.17706619753906,-0.359114606480903,-2.12035913625454,-0.667311715340464,1.81795159105816,0.0567070612845262,1.5097544821986,-1.76124452977363,-0.308197108859561,1.45304742091407,"Bclaf1;mKIAA0164"
"Cct5",133.031994947912,4,0,-1.56196994369554,-1.16057736387296,-1.52665550584892,-0.546942278311646,0.401392579822589,0.0353144378466253,1.0150276653839,-0.366078141975964,0.613635085561309,0.979713227537273,"Cct5"
"Arhgdib",132.94413119124,4,0,1.35201822024658,-0.0599154219516882,1.29994685084665,-0.153409556620811,-1.41193364219827,-0.052071369399929,-1.50542777686739,1.35986227279834,-0.0934941346691229,-1.45335640746747,"Arhgdib"
"Ap1b1",131.278026132983,4,0,-2.3220126837501,-1.50766663135353,-2.2608064184321,-1.22629943508131,0.814346052396571,0.0612062653179943,1.09571324866879,-0.753139787078576,0.281367196272218,1.03450698335079,"Ap1b1"
"Hist1h2be;Hist1h1e",131.051282933175,4,0,-1.04580215808316,2.39563529515165,-0.38101903102815,-0.350039701237103,3.44143745323481,0.664783127055012,0.695762456846058,-2.7766543261798,-2.74567499638875,0.0309793297910467,"Hist1h2be;Hist1h1e"
"Cbx5",129.736149775219,4,0,-1.64026686305503,0.370674680744095,-1.40535275598672,-0.335544882053247,2.01094154379913,0.234914107068315,1.30472198100178,-1.77602743673081,-0.706219562797342,1.06980787393347,"Cbx5"
"AK217986",127.692356255096,4,0,-2.73923683015722,-0.671205395100599,-2.22150048500644,0.229043627111137,2.06803143505662,0.517736345150783,2.96828045726836,-1.55029508990584,0.900249022211736,2.45054411211758,"AK217986"
"H2afx",127.348316778409,4,0,-1.67382083871534,-2.11039042943083,-1.26345420646185,-2.69634773129961,-0.436569590715486,0.410366632253496,-1.02252689258426,0.846936222968982,-0.585957301868778,-1.43289352483776,"H2afx"
"Eif4g2",124.562214202428,4,0,-1.51589313225555,-0.506904095053134,-1.45753287778371,-0.067673198779837,1.00898903720241,0.0583602544718386,1.44821993347571,-0.950628782730572,0.439230896273297,1.38985967900387,"Eif4g2"
"E2f4",123.133787769022,4,0,-2.66108568086303,-2.38196040818782,-2.54765674936619,-1.01746702394427,0.279125272675205,0.113428931496836,1.64361865691876,-0.165696341178369,1.36449338424355,1.53018972542192,"E2f4"
"Nasp",121.973139634482,4,0,-1.9298427163653,-1.01769830392639,-1.6644483566495,-0.452827311602501,0.91214441243891,0.265394359715799,1.4770154047628,-0.646750052723111,0.564870992323889,1.211621045047,"Nasp"
"Ipo5",121.449180863223,4,0,-1.70871669447243,-0.905679325729246,-1.7833466239767,-0.472068808298374,0.803037368743184,-0.0746299295042668,1.23664788617406,-0.877667298247451,0.433610517430873,1.31127781567832,"Ipo5"
"Nedd4",120.93098682832,4,0,-0.822008535332212,-0.391618984184372,-0.822651603587837,1.03311289282,0.43038955114784,-0.000643068255624497,1.85512142815222,-0.431032619403465,1.42473187700438,1.85576449640784,"Nedd4"
"Ccne1",118.779087575423,4,0,-1.43728698041413,0.530908769662211,-1.42489060046072,1.31799078404486,1.96819575007634,0.0123963799534167,2.75527776445899,-1.95579937012293,0.787082014382644,2.74288138450557,"Ccne1"
"Calr",118.716031418367,4,0,-0.897136507983888,-1.30920630846237,-0.629985001133805,-0.17626372869396,-0.412069800478485,0.267151506850083,0.720872779289929,0.679221307328568,1.13294257976841,0.453721272439846,"Calr"
"Slc29a1;Ent1",117.776386580972,4,0,-2.66003671360698,-1.40269686071071,-2.80040076090395,-0.9325804391839,1.25733985289628,-0.140364047296965,1.72745627442309,-1.39770390019324,0.470116421526809,1.86782032172005,"Slc29a1;Ent1"
"Mki67",117.765693353843,4,0,-0.887110787702872,3.12144676456401,-0.863331079756901,-1.57838907874244,4.00855755226689,0.023779707945972,-0.691278291039563,-3.98477784432092,-4.69983584330645,-0.715057998985532,"Mki67"
"Rgs10",116.984505130588,4,0,-1.57485416973169,-2.63533015419606,-1.4863101877526,-1.39589932927685,-1.06047598446437,0.0885439819790919,0.178954840454837,1.14901996644347,1.23943082491921,0.0904108584757459,"Rgs10"
"Rexo2",116.549123423113,4,0,-2.37884243051944,-1.92408112288518,-2.31437861767776,-0.929454080621214,0.454761307634267,0.064463812841687,1.44938834989823,-0.39029749479258,0.994627042263962,1.38492453705654,"Rexo2"
"AK031561;Set",113.429230562128,4,0,-1.65424641549392,0.586970367622218,-1.24843176597119,-0.454406096776481,2.24121678311614,0.405814649522735,1.19984031871744,-1.8354021335934,-1.0413764643987,0.794025669194704,"AK031561;Set"
"Gspt1",112.721170381653,4,0,-1.77974966674656,-0.651728360098734,-1.69967726617172,-0.324578037486055,1.12802130664783,0.0800724005748424,1.45517162926051,-1.04794890607299,0.327150322612679,1.37509922868567,"Gspt1"
"Tubb5",112.422614325735,4,0,-0.943538005007595,-0.430180985686077,-1.01832526657266,-1.34259104473582,0.513357019321518,-0.0747872615650655,-0.399053039728228,-0.588144280886583,-0.912410059049746,-0.324265778163163,"Tubb5"
"Isg20",111.975168708434,4,0,-5.33996110223534,-4.01224015379686,-5.19489938175955,-0.937491042746189,1.32772094843848,0.145061720475795,4.40247005948915,-1.18265922796268,3.07474911105067,4.25740833901336,"Isg20"
"Gfi1b",111.808998057363,4,0,-3.77381939635683,-3.82837033189927,-3.37866173678238,-0.35195698228175,-0.0545509355424405,0.395157659574455,3.42186241407508,0.449708595116895,3.47641334961752,3.02670475450063,"Gfi1b"
"Atp1b2",110.689287906034,4,0,-3.78172898065726,2.52768835944309,-3.47676148627193,2.98872381262531,6.30941734010035,0.304967494385327,6.77045279328257,-6.00444984571502,0.461035453182222,6.46548529889725,"Atp1b2"
"Slpi",110.27708779286,4,0,-0.648796785314449,-3.86228306004332,-0.571923659678243,-1.0019003484808,-3.21348627472887,0.076873125636206,-0.353103563166349,3.29035940036508,2.86038271156252,-0.429976688802555,"Slpi"
"Ddx39",108.959973873452,4,0,-2.78944614883052,-2.02134648847299,-2.37675040179804,-1.39804839284088,0.768099660357527,0.412695747032479,1.39139775598963,-0.355403913325047,0.623298095632106,0.978702008957154,"Ddx39"
"Kcnn4",108.054390580463,4,0,-1.96347707519671,-1.2329139328303,-2.16418363700807,-0.865027096061816,0.730563142366409,-0.200706561811356,1.0984499791349,-0.931269704177766,0.367886836768488,1.29915654094625,"Kcnn4"
"Sub1",107.667784451177,4,0,-0.01237377303381,2.29920916661296,-0.069981778231358,-0.35909220013619,2.31158293964677,-0.0576080051975484,-0.346718427102381,-2.36919094484432,-2.65830136674915,-0.289110421904833,"Sub1"
"Mbd2",107.424670241231,4,0,-1.5115627970531,-0.412399686748301,-1.6405654219297,-0.394006880544631,1.09916311030479,-0.129002624876602,1.11755591650846,-1.2281657351814,0.0183928062036699,1.24655854138507,"Mbd2"
"Apoe",106.486431638602,4,0,0.549935122795999,-1.53399530362195,0.255035004505975,0.421553371824663,-2.08393042641795,-0.294900118290024,-0.128381750971336,1.78903030812792,1.95554867544661,0.166518367318688,"Apoe"
"Rhd",105.377342645592,4,0,-8.75382144580389,-4.8863540609092,-8.92309722929741,-1.84681225283325,3.8674673848947,-0.169275783493515,6.90700919297065,-4.03674316838821,3.03954180807595,7.07628497646416,"Rhd"
"Rpia",105.208396826598,4,0,-2.10266828403243,-1.62260388854967,-1.92213843993138,-0.103048891586905,0.480064395482758,0.180529844101046,1.99961939244552,-0.299534551381712,1.51955499696276,1.81908954834448,"Rpia"
"Aqp1",103.21864770936,4,0,-6.95629990428571,-6.2463505759944,-7.15544150346954,-1.27288083137242,0.709949328291305,-0.199141599183834,5.68341907291329,-0.909090927475139,4.97346974462199,5.88256067209712,"Aqp1"
"Ifngr1",101.920591095936,4,0,-0.688159708368076,2.63096606912148,-0.576839047036839,-0.972886699353922,3.31912577748956,0.111320661331237,-0.284726990985846,-3.20780511615832,-3.6038527684754,-0.396047652317083,"Ifngr1"
"Nkg7",101.175727152115,4,0,2.56857553822947,3.24386927714465,3.05134540518296,3.20507130545483,0.675293738915188,0.482769866953498,0.636495767225369,-0.19252387196169,-0.038797971689819,0.153725900271872,"Nkg7"
"Hist1h1a",100.958855920784,4,0,-2.09321486987856,2.20514896283083,-1.53565451217689,-0.76869817293227,4.29836383270939,0.557560357701666,1.32451669694629,-3.74080347500773,-2.9738471357631,0.766956339244622,"Hist1h1a"
"Smc1a",100.731827729919,4,0,-1.25302633321514,0.68261106639777,-1.28981615197439,-0.396164792987279,1.93563739961291,-0.0367898187592471,0.856861540227863,-1.97242721837216,-1.07877585938505,0.89365135898711,"Smc1a"
"Cox7b",99.9861798500832,4,0,-0.461538905592335,4.57186647527638,-1.29700966201859,-0.95530385691206,5.03340538086873,-0.835470756426248,-0.493764951319719,-5.86887613729497,-5.52717033218844,0.341705805106528,"Cox7b"
"Hist1h4d",97.8183713786301,4,0,-1.39591362477857,1.87894561290939,-0.731324374054038,-1.37155488899611,3.27485923768796,0.66458925072453,0.0243587357824607,-2.61026998696343,-3.2505005019055,-0.640230514942069,"Hist1h4d"
"Mcm4",94.4661903357961,4,0,-1.1028191256245,-0.468124213363159,-1.21165490966582,0.484485620961909,0.634694912261342,-0.108835784041321,1.58730474658641,-0.743530696302663,0.952609834325069,1.69614053062773,"Mcm4"
"Nars",93.4951683724279,4,0,-1.68443996501143,-0.542442609374032,-1.42217444910579,-0.261928681138585,1.1419973556374,0.262265515905646,1.42251128387285,-0.879731839731757,0.280513928235447,1.1602457679672,"Nars"
"Cenp-a;Cenpa",93.2539632415948,4,0,-2.71225527436011,-1.50812525134136,-2.82629029234336,-2.84721349847379,1.20413002301875,-0.114035017983256,-0.134958224113678,-1.31816504100201,-1.33908824713243,-0.0209232061304228,"Cenp-a;Cenpa"
"Dad1",90.0391330109921,4,0,-1.20196540322767,0.861391570916062,-1.02593572588904,-0.343352263809536,2.06335697414374,0.176029677338633,0.858613139418138,-1.8873272968051,-1.2047438347256,0.682583462079506,"Dad1"
"1110034A24Rik;Rpl36al",89.4209758876862,4,0,-1.34379311664399,0.104586187339752,-1.3197332733632,-0.755919283736115,1.44837930398374,0.0240598432807899,0.587873832907873,-1.42431946070295,-0.860505471075867,0.563813989627082,"1110034A24Rik;Rpl36al"
"Cpsf2",84.7880881224228,4,0,-1.30207950262474,0.091632950787041,-1.25857356123451,-0.095902349183,1.39371245341178,0.0435059413902232,1.20617715344174,-1.35020651202156,-0.187535299970041,1.16267121205151,"Cpsf2"
"Cldn13",84.1397925581913,4,0,-4.0589612019422,1.89916996262644,-4.06301921865181,0.744657553564726,5.95813116456864,-0.00405801670960639,4.80361875550693,-5.96218918127824,-1.15451240906171,4.80767677221653,"Cldn13"
"Paics",83.8256765567559,4,0,-1.79293327705232,-0.22125709075404,-1.76016788564957,-0.911616907630163,1.57167618629828,0.0327653914027495,0.881316369422155,-1.53891079489553,-0.690359816876122,0.848550978019405,"Paics"
"Cox6c",82.2808543500136,4,1.11022302462516e-16,-0.523042134950379,1.99502104655555,-0.669439014806089,-0.323980707165693,2.51806318150593,-0.146396879855711,0.199061427784685,-2.66446006136164,-2.31900175372125,0.345458307640397,"Cox6c"
"Atpase6",82.1055262468109,4,1.11022302462516e-16,0.0660084504842375,2.36909178244382,-0.138564177593723,0.511875750420678,2.30308333195958,-0.204572628077961,0.445867299936441,-2.50765596003754,-1.85721603202314,0.650439928014401,"Atpase6"
"Gata1",81.957251025407,4,1.11022302462516e-16,-2.96176227906989,-2.07048090791545,-2.75419594086806,2.507675200504,0.891281371154437,0.20756633820183,5.46943747957389,-0.683715032952607,4.57815610841946,5.26187114137206,"Gata1"
"Bat2d;Prrc2c;Bat2l2",80.6139503333663,4,1.11022302462516e-16,-0.983363574788469,0.836957816335361,-0.676885521769085,0.0926732144484139,1.82032139112383,0.306478053019385,1.07603678923688,-1.51384333810444,-0.744284601886947,0.769558736217498,"Bat2d;Prrc2c;Bat2l2"
"Igfbp4",80.2511984542956,4,1.11022302462516e-16,1.01867101486347,-1.28163668908766,0.808902090224408,-0.435961371140055,-2.30030770395113,-0.209768924639063,-1.45463238600353,2.09053877931207,0.845675317947605,-1.24486346136446,"Igfbp4"
"Emb",77.6867907719917,4,5.55111512312578e-16,0.586662072810931,0.565909213869561,0.551268007967483,-1.48685351483919,-0.0207528589413694,-0.0353940648434478,-2.07351558765012,-0.0146412059020785,-2.05276272870875,-2.03812152280667,"Emb"
"Sun2",76.0580873276269,4,1.22124532708767e-15,0.889816498149057,1.01425115233602,0.921203248663117,-0.969647789350593,0.124434654186962,0.0313867505140606,-1.85946428749965,-0.0930479036729013,-1.98389894168661,-1.89085103801371,"Sun2"
"Ube2c",76.0362809364149,4,1.22124532708767e-15,-1.56683569790117,-0.756874593905294,-1.42935351965851,-2.46540740385657,0.80996110399588,0.137482178242662,-0.8985717059554,-0.672478925753218,-1.70853280995128,-1.03605388419806,"Ube2c"
"Son;mKIAA1019",75.7316807195147,4,1.4432899320127e-15,-0.867534714922384,0.885094304722905,-0.786696558532401,-0.36346380146746,1.75262901964529,0.0808381563899833,0.504070913454924,-1.67179086325531,-1.24855810619037,0.423232757064941,"Son;mKIAA1019"
"Hmgb2",75.2749678870177,4,1.77635683940025e-15,-1.27974596170314,-0.781109942511166,-1.17475024401772,-1.81888842802211,0.498636019191972,0.104995717685418,-0.539142466318969,-0.393640301506554,-1.03777848551094,-0.644138184004387,"Hmgb2"
"Tk1",73.9964646428133,4,3.21964677141295e-15,-2.89225695924843,-2.79669486044912,-2.49245627084243,-1.58548933755359,0.0955620987993095,0.399800688405996,1.30676762169484,0.304238589606687,1.21120552289553,0.906966933288846,"Tk1"
"Tuba1c",72.9268892858291,4,5.44009282066327e-15,-1.23253201132002,-2.01422542478284,-0.848846061545942,-1.99281392998185,-0.781693413462824,0.383685949774076,-0.76028191866183,1.1653793632369,0.0214114948009945,-1.14396786843591,"Tuba1c"
"Cd34",72.4315936451041,4,6.99440505513849e-15,-0.699627302604013,-2.05579246090523,-0.290184503856877,-2.8730112981311,-1.35616515830122,0.409442798747135,-2.17338399552709,1.76560795704836,-0.817218837225864,-2.58282679427422,"Cd34"
"Ccnb2",70.7749207207374,4,1.55431223447522e-14,-2.38563674695817,-1.52993169491733,-2.27451202957333,-2.88603640644571,0.855705052040836,0.111124717384836,-0.500399659487544,-0.744580334656,-1.35610471152838,-0.61152437687238,"Ccnb2"
"AK152437",69.8797456594154,4,2.40918396343659e-14,-3.08212088347099,-1.64460850635242,-3.08009850201864,-1.55879768434418,1.43751237711857,0.00202238145234918,1.52332319912681,-1.43548999566622,0.085810822008245,1.52130081767446,"AK152437"
"Mat2a",68.4281077000865,4,4.87387907810444e-14,-1.86985349299325,-1.62698331929385,-1.63788118881992,-1.1228681419951,0.2428701736994,0.23197230417333,0.746985350998151,-0.0108978695260706,0.504115177298751,0.515013046824821,"Mat2a"
"SMC4;Smc4",68.016360084281,4,5.95079541199084e-14,-1.45168549760432,0.133892636597343,-1.43356307140324,-1.19662447611651,1.58557813420166,0.0181224262010835,0.25506102148781,-1.56745570800058,-1.33051711271385,0.236938595286727,"SMC4;Smc4"
"Hist1h1d",67.3796747981738,4,8.10462807976364e-14,-0.275351845697297,2.94334689476859,0.142069093251456,-0.0242958968848432,3.21869874046588,0.417420938948753,0.251055948812454,-2.80127780151713,-2.96764279165343,-0.1663649901363,"Hist1h1d"
"B2m;BC002288",66.9504531275572,4,9.98090499138016e-14,-0.338577179792216,2.59541990191886,0.244745347356965,-0.0694143250995842,2.93399708171107,0.58332252714918,0.269162854692631,-2.35067455456189,-2.66483422701844,-0.314159672456549,"B2m;BC002288"
"Hemgn",66.6947655310464,4,1.13020703906841e-13,-3.07659424168829,-2.61761874035976,-2.90259880060395,0.622480303934491,0.45897550132853,0.17399544108434,3.69907454562278,-0.28498006024419,3.24009904429425,3.52507910453844,"Hemgn"
"MRPL33;Mrpl33",63.2577674617918,4,5.98854299482809e-13,-0.222088288584326,1.93047506926079,-0.48550677448767,-0.404510848492282,2.15256335784511,-0.263418485903345,-0.182422559907956,-2.41598184374846,-2.33498591775307,0.0809959259953885,"MRPL33;Mrpl33"
"Hist1h2ae",62.2471785458934,4,9.77329328577525e-13,-1.42232478934272,1.29081293327535,-1.06134492474645,-1.3144254885416,2.71313772261808,0.360979864596268,0.107899300801128,-2.35215785802181,-2.60523842181695,-0.253080563795141,"Hist1h2ae"
"Hist1h1c",61.851270229229,4,1.1838308111578e-12,-0.647310295700575,1.78614774955887,0.0997339454294634,-0.483727211778987,2.43345804525945,0.74704424113004,0.163583083921589,-1.68641380412941,-2.26987496133786,-0.58346115720845,"Hist1h1c"
"Itgb1",61.1919413889776,4,1.62914126633495e-12,0.360057065438668,1.84392707746431,0.442344441389257,0.411838782020918,1.48387001202565,0.0822873759505895,0.0517817165822507,-1.40158263607506,-1.4320882954434,-0.0305056593683386,"Itgb1"
"Rps24",58.4305003394223,4,6.19737594576009e-12,-0.291452017278246,0.73892258585677,-0.55818639527195,-1.43643703764555,1.03037460313502,-0.266734377993704,-1.1449850203673,-1.29710898112872,-2.17535962350232,-0.878250642373594,"Rps24"
"Elane",55.950582781929,4,2.0535906308794e-11,-1.20868746426333,0.801134209929823,-0.939460676738154,0.628051948455253,2.00982167419316,0.269226787525179,1.83673941271859,-1.74059488666798,-0.173082261474569,1.56751262519341,"Elane"
"Uqcrh",55.7021769861002,4,2.31520358440207e-11,-0.866729370808401,0.0902004337995322,-0.782771073138438,-0.104741983131019,0.956929804607933,0.0839582976699634,0.761987387677382,-0.87297150693797,-0.194942416930552,0.678029090007418,"Uqcrh"
"2810417H13Rik",53.2770854393862,4,7.45663530921092e-11,-0.200895001878697,3.8443119311426,-0.27350879723446,-1.26421302480705,4.0452069330213,-0.0726137953557627,-1.06331802292836,-4.11782072837706,-5.10852495594966,-0.990704227572595,"2810417H13Rik"
"Prdx5",52.8962648407491,4,8.9584895057726e-11,0.0105330266513459,-0.959794322191498,0.0791245135436361,0.528561734826563,-0.970327348842844,0.0685914868922903,0.518028708175217,1.03891883573513,1.48835605701806,0.449437221282927,"Prdx5"
"Rpl23",52.7135462604905,4,9.78280789709629e-11,-0.811705980969246,0.345309697393816,-0.757313728652998,-0.279731509880143,1.15701567836306,0.0543922523162478,0.531974471089103,-1.10262342604681,-0.625041207273959,0.477582218772856,"Rpl23"
"Cox17",50.6692652931172,4,2.61719534933036e-10,-1.25470566425053,-1.1218869703153,-1.005731002948,-0.314542940419268,0.132818693935228,0.24897466130253,0.940162723831264,0.116155967367303,0.807344029896036,0.691188062528733,"Cox17"
"Ctsg",44.9092047433545,4,4.15258161190479e-09,-0.135839761875224,1.64777482443171,0.0600569938536404,-0.160349549372006,1.78361458630693,0.195896755728865,-0.0245097874967808,-1.58771783057806,-1.80812437380371,-0.220406543225646,"Ctsg"
"Kiaa0028;Lars2",41.26917995069,4,2.36406877407447e-08,-0.889134927433855,1.15631554825044,-0.90189685871482,-0.246937383157432,2.04545047568429,-0.0127619312809659,0.642197544276423,-2.05821240696526,-1.40325293140787,0.654959475557389,"Kiaa0028;Lars2"
"Fam107b",41.2007414795765,4,2.44249603875701e-08,0.321641969841063,1.74812555666241,0.682276217280783,-0.268537540064302,1.42648358682135,0.36063424743972,-0.590179509905365,-1.06584933938163,-2.01666309672671,-0.950813757345085,"Fam107b"
"Atp5k",38.8988870529937,4,7.30963168882326e-08,-0.994555452952081,-0.920947676575527,-0.540133444373437,-0.164643864069147,0.0736077763765538,0.454422008578644,0.829911588882934,0.38081423220209,0.75630381250638,0.37548958030429,"Atp5k"
"Cdk1",38.7159574182078,4,7.97390985463053e-08,-1.90288762096595,-1.43541080910979,-1.77269859737524,-2.02112124531622,0.467476811856158,0.130189023590706,-0.118233624350265,-0.337287788265452,-0.585710436206423,-0.248422647940971,"Cdk1"
"Birc5",38.5751416352179,4,8.52598321943177e-08,-2.27129771553839,-1.94518500936896,-2.21616841311467,-2.2737452941374,0.326112706169426,0.0551293024237202,-0.00244757859900924,-0.270983403745706,-0.328560284768435,-0.0575768810227295,"Birc5"
"Hspa5",35.8231874506046,4,3.14645708265893e-07,-1.11044758354879,-1.03543233481536,-1.00614590831436,-0.51241828771777,0.0750152487334347,0.104301675234435,0.598029295831021,0.0292864265010009,0.523014047097586,0.493727620596586,"Hspa5"
"Dctn5;Plk1",35.5542637880632,4,3.57370723347294e-07,-1.64993330063786,-1.11555275015033,-1.58891461801853,-1.74057269401517,0.534380550487526,0.0610186826193264,-0.0906393933773115,-0.4733618678682,-0.625019943864838,-0.151658075996637,"Dctn5;Plk1"
"Hba-a2",33.5680922179417,4,9.13717549955173e-07,2.3286047883116,1.22447081608948,1.32134400253841,-0.759538211647985,-1.10413397222212,-1.00726078577319,-3.08814299995959,0.0968731864489284,-1.98400902773746,-2.0808822141864,"Hba-a2"
"Hp",32.7088813893824,4,1.3701473444705e-06,-1.24933915729043,0.676214830227895,-1.01913564774901,0.779982847045863,1.92555398751833,0.230203509541423,2.0293220043363,-1.6953504779769,0.103768016817968,1.79911849479487,"Hp"
"Pgd",30.719986069504,4,3.49158723733645e-06,-0.682209975825805,-0.547593113581962,-0.472835248313771,0.445907357609446,0.134616862243843,0.209374727512034,1.12811733343525,0.0747578652681912,0.993500471191408,0.918742605923217,"Pgd"
"Cdca3",26.3841768207713,4,2.64725091170259e-05,-1.42408664134718,-0.859359795018351,-1.18080050441564,-1.32482494544134,0.564726846328824,0.243286136931531,0.099261695905835,-0.321440709397293,-0.465465150422989,-0.144024441025697,"Cdca3"
"1190002H23Rik",24.2555840102638,4,7.09836850698586e-05,-1.32221804990232,-1.55941030883842,-1.43279426543255,3.15339575923311,-0.237192258936092,-0.110576215530226,4.47561380913543,0.126616043405866,4.71280606807153,4.58619002466566,"1190002H23Rik"
"Hbb-b1",23.5717129531551,4,9.73189451258794e-05,-5.0406124803018,-1.9980463011575,-3.49211584957807,-2.77482078350313,3.0425661791443,1.54849663072373,2.26579169679867,-1.49406954842057,-0.776774482345634,0.717295066074936,"Hbb-b1"
"Prtn3",20.4461950828599,4,0.00040764102716373,-0.444886480032768,0.207175629084393,-0.344544942242862,0.246756795266431,0.652062109117161,0.100341537789905,0.691643275299199,-0.551720571327256,0.0395811661820377,0.591301737509293,"Prtn3"
"Chi3l3",17.654411659135,4,0.00144152862240521,0.722985359646318,4.41894865508722,0.189561579243018,3.22190408157467,3.6959632954409,-0.5334237804033,2.49891872192835,-4.2293870758442,-1.19704457351255,3.03234250233165,"Chi3l3"
"Ly6c2",17.377956981415,4,0.00163193395945793,-0.167025131796892,0.190332761360947,-0.616260605262931,1.12900368818294,0.357357893157838,-0.44923547346604,1.29602881997983,-0.806593366623878,0.938670926821989,1.74526429344587,"Ly6c2"
"Hsp90b1",16.8364516923095,4,0.00207960124173123,-0.546793458954122,-0.845028377246578,-0.619867906927709,-0.543565635451403,-0.298234918292457,-0.0730744479735869,0.003227823502719,0.22516047031887,0.301462741795176,0.076302271476306,"Hsp90b1"
"Rpl30",16.5476452133052,4,0.00236582862388479,-0.761012343100798,-0.232774242299948,-0.431722771514301,-0.608229643883533,0.52823810080085,0.329289571586497,0.152782699217265,-0.198948529214353,-0.375455401583585,-0.176506872369232,"Rpl30"
"1100001G20Rik",16.3102014407218,4,0.00262995237685248,-176.227497169559,-173.665007107273,-176.668193832869,-174.867310270346,2.56249006228565,-0.440696663310063,1.3601868992131,-3.00318672559572,-1.20230316307255,1.80088356252316,"1100001G20Rik"
"Ifitm1",15.6192899304057,4,0.00357497239288573,-0.441546697459994,-2.0623725895859,-0.290556265134806,-0.862508855604261,-1.6208258921259,0.150990432325188,-0.420962158144267,1.77181632445109,1.19986373398163,-0.571952590469455,"Ifitm1"
"Pdia3",12.887726362176,4,0.0118376136196626,-0.800544034171233,-0.958059198207023,-0.94683054090423,-0.716324322643876,-0.157515164035791,-0.146286506732997,0.0842197115273568,0.0112286573027936,0.241734875563147,0.230506218260354,"Pdia3"
"Gstm1",9.99555441720927,4,0.0405026338663044,0.0314248788307125,0.687892476170477,0.122707309220061,1.11961608436756,0.656467597339765,0.0912824303893487,1.08819120553685,-0.565185166950416,0.431723608197084,0.9969087751475,"Gstm1"
