"","waldStat","df","pvalue","logFC1_2","logFC1_3","logFC1_4","logFC1_5","logFC2_3","logFC2_4","logFC2_5","logFC3_4","logFC3_5","logFC4_5","feature_id"
"Pf4",550.516534761223,4,0,-2.29975334878538,-9.08931864140076,-1.60810743337881,0.204149509426013,-6.78956529261538,0.691645915406567,2.50390285821139,7.48121120802195,9.29346815082677,1.81225694280482,"Pf4"
"Car1",535.396857818671,4,0,-2.80450318535853,2.61249216356028,-2.72906045928389,2.49824790412221,5.4169953489188,0.075442726074638,5.30275108948074,-5.34155262284417,-0.114244259438065,5.2273083634061,"Car1"
"Csda",495.756299386923,4,0,-2.38340938672883,-2.27084121228554,-2.33717789983668,-0.390556336430095,0.112568174443289,0.0462314868921504,1.99285305029873,-0.0663366875511381,1.88028487585544,1.94662156340658,"Csda"
"Tmsb4x",475.737352470219,4,0,3.93214842947038,4.31041865309976,3.1365431025329,-2.92989056308022,0.378270223629383,-0.795605326937479,-6.8620389925506,-1.17387555056686,-7.24030921617998,-6.06643366561312,"Tmsb4x"
"Gm2a",465.106975971343,4,0,1.86200611160304,1.9079336506839,2.15011570045774,-2.16411702427735,0.0459275390808593,0.2881095888547,-4.02612313588039,0.242182049773841,-4.07205067496125,-4.31423272473509,"Gm2a"
"Atpif1",448.280829379104,4,0,-2.14019923611385,-2.16435866288295,-2.18194240840014,-0.815931249926233,-0.0241594267690974,-0.0417431722862877,1.32426798618761,-0.0175837455171903,1.34842741295671,1.3660111584739,"Atpif1"
"Anxa2",446.401580334431,4,0,3.61085586762397,2.97245067860289,4.05778020668309,-0.79988566779204,-0.638405189021084,0.446924339059118,-4.41074153541601,1.0853295280802,-3.77233634639493,-4.85766587447513,"Anxa2"
"Cnn2",433.548270132249,4,0,3.46667956853325,-0.416955763596055,3.74900325688671,-0.502468700237798,-3.8836353321293,0.28232368835346,-3.96914826877104,4.16595902048276,-0.0855129366417433,-4.2514719571245,"Cnn2"
"Mthfd1",430.842737852046,4,0,-3.9381402378979,-2.53567488046758,-3.86131373960367,-0.186297934668874,1.40246535743032,0.0768264982942246,3.75184230322902,-1.32563885913609,2.3493769457987,3.6750158049348,"Mthfd1"
"Fam132a",425.972720427565,4,0,-3.62168661191496,-0.717113651219452,-3.65497786186671,1.12652986260497,2.9045729606955,-0.0332912499517561,4.74821647451993,-2.93786421064726,1.84364351382442,4.78150772447168,"Fam132a"
"Cd74",417.609309839796,4,0,7.89670109761491,6.4517447677872,7.01634857055756,-0.504346516057335,-1.44495632982771,-0.880352527057352,-8.40104761367225,0.564603802770357,-6.95609128384454,-7.5206950866149,"Cd74"
"Hdgf",415.926174829917,4,0,-2.87603335858291,-2.08737909088626,-2.88106967387004,-0.718846688622658,0.788654267696649,-0.00503631528713421,2.15718666996025,-0.793690582983783,1.3685324022636,2.16222298524738,"Hdgf"
"Tmsb10",415.356302023919,4,0,2.56229808084496,0.143666918377786,2.62694170602509,-1.02241327915856,-2.41863116246718,0.0646436251801301,-3.58471136000352,2.48327478764731,-1.16608019753634,-3.64935498518365,"Tmsb10"
"Gpr56",403.650592503719,4,0,-2.52175876433982,-4.90125835918033,-2.24615427055507,-1.71413633664441,-2.37949959484051,0.275604493784744,0.807622427695403,2.65510408862525,3.18712202253591,0.53201793391066,"Gpr56"
